,person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
608,22,20000,OWN,3.0,EDUCATION,A,7500,5.79,0,0.38,N,4
14605,26,110000,MORTGAGE,9.0,PERSONAL,C,20000,13.72,0,0.18,N,3
9453,26,62000,MORTGAGE,5.0,MEDICAL,A,10000,7.88,0,0.16,N,2
17169,24,70000,MORTGAGE,2.0,MEDICAL,B,8950,11.89,0,0.13,N,2
11360,24,59000,RENT,1.0,EDUCATION,A,10000,,0,0.17,N,4
28779,31,50000,RENT,9.0,DEBTCONSOLIDATION,A,12000,6.03,0,0.24,N,6
29520,38,33000,RENT,2.0,VENTURE,D,2000,16.89,1,0.06,N,14
19221,29,31000,MORTGAGE,1.0,DEBTCONSOLIDATION,A,9950,7.9,0,0.32,N,6
31828,41,141000,MORTGAGE,12.0,DEBTCONSOLIDATION,D,25000,14.96,1,0.18,N,13
32527,69,120000,MORTGAGE,3.0,PERSONAL,D,20000,14.84,0,0.17,N,27
9682,26,63180,OWN,4.0,HOMEIMPROVEMENT,C,5825,13.43,0,0.09,Y,2
4082,24,93000,RENT,8.0,MEDICAL,A,4000,5.42,0,0.04,N,2
14657,23,36000,RENT,3.0,VENTURE,D,15000,14.59,1,0.42,N,4
27594,33,150000,OWN,14.0,VENTURE,B,21000,11.83,0,0.14,N,9
24390,29,72000,MORTGAGE,5.0,PERSONAL,A,10000,6.17,0,0.14,N,10
12885,24,85000,MORTGAGE,1.0,DEBTCONSOLIDATION,A,4400,7.4,0,0.05,N,2
1744,23,16800,RENT,0.0,DEBTCONSOLIDATION,B,1950,10.37,0,0.12,N,2
26529,27,105000,MORTGAGE,3.0,EDUCATION,C,25000,12.23,0,0.24,N,5
6175,21,25000,RENT,3.0,DEBTCONSOLIDATION,B,6000,,0,0.24,N,4
23834,29,60000,MORTGAGE,13.0,MEDICAL,G,25000,20.16,1,0.42,N,10
30874,36,31200,RENT,0.0,EDUCATION,A,10000,6.91,1,0.32,N,15
32331,52,84000,RENT,3.0,VENTURE,A,18000,8.49,0,0.21,N,24
1103,23,59000,RENT,1.0,EDUCATION,B,17500,9.25,0,0.3,N,4
7053,22,55000,RENT,3.0,VENTURE,A,7000,6.91,0,0.13,N,4
324,24,91800,RENT,5.0,MEDICAL,D,25000,15.33,1,0.23,Y,2
22451,31,55000,MORTGAGE,3.0,DEBTCONSOLIDATION,B,6250,9.99,0,0.11,N,9
14089,26,100000,MORTGAGE,11.0,HOMEIMPROVEMENT,A,2000,5.42,0,0.02,N,2
26191,29,98000,MORTGAGE,11.0,DEBTCONSOLIDATION,C,1825,14.27,0,0.02,N,6
13232,22,36000,RENT,1.0,PERSONAL,B,12200,11.49,1,0.34,N,3
9496,25,95000,RENT,0.0,DEBTCONSOLIDATION,B,8000,10.36,0,0.08,N,3
12913,25,78000,RENT,6.0,HOMEIMPROVEMENT,B,12000,12.53,0,0.15,N,2
27649,28,157000,OWN,12.0,VENTURE,C,12000,13.92,0,0.08,Y,9
29541,37,14000,RENT,0.0,DEBTCONSOLIDATION,B,2400,,1,0.17,N,11
29869,40,53000,RENT,4.0,MEDICAL,A,4500,6.03,0,0.08,N,16
30571,41,31000,RENT,3.0,VENTURE,B,8000,10.38,0,0.26,N,17
13229,23,66300,MORTGAGE,6.0,MEDICAL,B,14000,,1,0.18,N,3
24903,33,35000,RENT,5.0,MEDICAL,B,11200,10.36,1,0.32,N,9
3157,24,35000,RENT,7.0,EDUCATION,A,3500,6.99,0,0.1,N,2
31459,42,67300,RENT,4.0,HOMEIMPROVEMENT,C,13800,13.99,0,0.21,N,16
291,25,100000,RENT,1.0,VENTURE,B,25000,9.33,0,0.25,N,4
27745,32,180000,MORTGAGE,2.0,PERSONAL,C,15600,,0,0.09,Y,10
26176,27,97200,MORTGAGE,2.0,HOMEIMPROVEMENT,A,5500,,0,0.06,N,8
12388,26,40000,RENT,1.0,PERSONAL,B,12000,11.58,0,0.3,N,2
25335,27,83886,MORTGAGE,11.0,VENTURE,A,15000,6.03,0,0.18,N,6
13417,21,35000,OWN,2.0,MEDICAL,A,11000,7.88,0,0.31,N,2
9790,22,64312,MORTGAGE,4.0,VENTURE,D,5000,14.91,0,0.08,Y,4
20587,27,117000,RENT,2.0,EDUCATION,A,10000,8.0,0,0.09,N,10
31751,40,136000,MORTGAGE,5.0,HOMEIMPROVEMENT,B,21000,9.99,0,0.15,N,16
9048,23,57996,RENT,5.0,DEBTCONSOLIDATION,A,8000,7.14,0,0.14,N,2
26007,30,44500,RENT,2.0,MEDICAL,E,13000,16.32,1,0.29,N,6
23787,33,65004,MORTGAGE,14.0,VENTURE,B,8000,11.49,0,0.12,N,9
23158,29,54000,MORTGAGE,1.0,PERSONAL,G,25000,20.16,1,0.46,Y,8
23904,32,67000,MORTGAGE,12.0,MEDICAL,B,10000,10.25,0,0.15,N,9
9610,25,63000,MORTGAGE,6.0,VENTURE,F,11000,,0,0.17,Y,3
3966,23,39800,MORTGAGE,5.0,MEDICAL,B,9750,10.99,0,0.24,N,3
21057,28,53500,RENT,4.0,VENTURE,B,5000,12.18,0,0.09,N,5
8233,25,35000,RENT,2.0,DEBTCONSOLIDATION,B,7500,10.99,0,0.21,N,2
2039,23,39270,RENT,6.0,VENTURE,C,2200,11.72,0,0.06,N,2
32170,41,52106,RENT,4.0,EDUCATION,C,5000,12.84,1,0.1,N,13
16884,24,150000,RENT,8.0,PERSONAL,B,5000,,0,0.03,N,2
7249,24,25000,RENT,0.0,MEDICAL,D,6950,14.42,1,0.28,Y,3
15424,23,135000,MORTGAGE,1.0,VENTURE,D,12500,15.99,0,0.09,N,2
14839,26,116004,MORTGAGE,11.0,VENTURE,B,20000,12.21,0,0.17,N,2
7308,25,35000,RENT,,MEDICAL,C,6500,12.68,0,0.19,Y,2
8968,25,44000,RENT,1.0,MEDICAL,D,8000,12.92,1,0.18,N,4
15713,24,59000,RENT,7.0,HOMEIMPROVEMENT,D,15250,14.96,0,0.26,N,4
26505,27,104525,MORTGAGE,11.0,HOMEIMPROVEMENT,A,6000,7.4,0,0.06,N,8
2525,23,20800,RENT,0.0,DEBTCONSOLIDATION,B,3000,11.46,0,0.14,N,4
22952,31,36000,RENT,3.0,PERSONAL,A,8000,8.49,0,0.22,N,8
30134,43,47000,OWN,2.0,VENTURE,A,10000,7.88,0,0.21,N,16
30735,39,63000,MORTGAGE,0.0,PERSONAL,A,15000,,0,0.24,N,15
27513,30,145000,MORTGAGE,4.0,DEBTCONSOLIDATION,B,6000,10.59,0,0.04,N,8
12687,23,64000,RENT,0.0,PERSONAL,C,12000,13.16,0,0.19,N,2
4693,23,50000,RENT,0.0,EDUCATION,A,4900,8.49,0,0.1,N,3
9980,24,54996,RENT,6.0,MEDICAL,B,9100,,0,0.17,N,2
9428,22,62000,MORTGAGE,2.0,EDUCATION,A,10000,5.99,0,0.16,N,4
24740,31,75000,MORTGAGE,3.0,VENTURE,F,8000,18.21,0,0.11,Y,7
4445,23,39000,RENT,0.0,PERSONAL,E,4800,17.99,1,0.12,N,4
2369,21,32000,MORTGAGE,4.0,PERSONAL,B,2500,11.71,1,0.08,N,3
22620,28,34200,RENT,8.0,PERSONAL,A,7500,8.94,0,0.22,N,7
9150,23,60000,MORTGAGE,7.0,EDUCATION,B,20000,12.18,0,0.33,N,4
24689,27,71020,RENT,1.0,MEDICAL,C,10000,12.53,0,0.14,N,6
16911,23,58000,MORTGAGE,7.0,MEDICAL,C,7200,11.97,1,0.12,N,2
30337,36,51996,MORTGAGE,8.0,MEDICAL,B,7500,10.51,0,0.14,N,15
13215,26,90000,MORTGAGE,0.0,DEBTCONSOLIDATION,A,10000,6.62,0,0.11,N,4
25029,27,80000,MORTGAGE,11.0,EDUCATION,B,7500,11.71,0,0.09,N,10
2543,24,30000,RENT,1.0,PERSONAL,B,3000,10.37,0,0.1,N,2
17377,22,28500,MORTGAGE,1.0,MEDICAL,A,8500,7.68,0,0.3,N,3
24910,31,78000,MORTGAGE,6.0,VENTURE,B,8000,10.0,0,0.1,N,6
6613,22,44000,MORTGAGE,6.0,MEDICAL,A,5000,5.42,1,0.11,N,4
31137,36,78000,MORTGAGE,7.0,PERSONAL,A,15000,7.88,0,0.19,N,16
2160,26,67000,RENT,4.0,MEDICAL,C,2400,12.99,0,0.04,Y,2
19362,30,32400,OWN,,EDUCATION,B,3000,10.62,0,0.09,N,9
7350,25,52500,MORTGAGE,9.0,HOMEIMPROVEMENT,A,7000,5.79,0,0.13,N,4
21309,28,24000,RENT,5.0,PERSONAL,B,5500,10.36,0,0.23,N,7
15180,26,125000,OWN,10.0,MEDICAL,A,6000,5.42,0,0.05,N,4
8261,23,56700,MORTGAGE,7.0,EDUCATION,A,12000,5.42,0,0.21,N,2
31656,36,50000,RENT,4.0,HOMEIMPROVEMENT,A,15000,8.9,0,0.3,N,14
20827,27,48000,RENT,3.0,DEBTCONSOLIDATION,B,5000,11.71,0,0.1,N,7
29197,46,192000,MORTGAGE,1.0,VENTURE,C,25000,14.79,0,0.13,Y,14
19412,31,30000,RENT,0.0,DEBTCONSOLIDATION,B,3000,10.08,1,0.1,N,10
32346,51,38000,RENT,7.0,PERSONAL,B,13000,12.42,1,0.34,N,18
15265,22,127500,MORTGAGE,2.0,MEDICAL,A,15000,7.49,0,0.12,N,4
28464,30,30000,MORTGAGE,3.0,DEBTCONSOLIDATION,A,5100,7.9,0,0.17,N,5
31258,38,84000,MORTGAGE,17.0,HOMEIMPROVEMENT,A,10800,,0,0.13,N,15
31413,37,93000,MORTGAGE,2.0,VENTURE,B,18000,12.18,0,0.19,N,11
5118,26,43873,OWN,,HOMEIMPROVEMENT,D,17500,16.32,0,0.4,N,3
717,22,66000,RENT,3.0,DEBTCONSOLIDATION,D,20000,14.42,1,0.3,N,2
8125,25,55800,MORTGAGE,1.0,PERSONAL,B,4000,10.75,0,0.07,N,2
20990,27,45000,MORTGAGE,4.0,EDUCATION,B,10000,10.65,0,0.22,N,8
25567,32,86400,MORTGAGE,16.0,MEDICAL,A,8000,6.03,0,0.09,N,10
31084,46,62047,RENT,4.0,MEDICAL,A,10000,9.63,1,0.14,N,13
29174,42,210000,MORTGAGE,3.0,VENTURE,C,16000,13.47,0,0.08,N,11
17975,32,53196,RENT,9.0,VENTURE,B,25000,11.86,1,0.47,N,9
11450,23,75000,MORTGAGE,4.0,VENTURE,B,12000,9.91,0,0.16,N,2
31348,38,125000,RENT,0.0,EDUCATION,A,12000,7.66,0,0.1,N,14
19697,31,26400,RENT,2.0,VENTURE,C,3250,13.48,0,0.12,N,8
21517,27,28000,RENT,3.0,VENTURE,C,6000,13.92,0,0.21,N,6
16719,26,60000,RENT,0.0,VENTURE,A,5000,7.14,0,0.08,N,2
24285,31,60000,RENT,4.0,HOMEIMPROVEMENT,A,4200,8.49,0,0.07,N,10
16198,25,67000,MORTGAGE,9.0,PERSONAL,C,25000,10.91,1,0.37,N,3
5695,24,137481,RENT,8.0,VENTURE,B,5000,10.99,0,0.04,N,3
13587,22,42200,RENT,6.0,VENTURE,D,12800,15.21,1,0.3,N,2
7180,23,74000,RENT,7.0,HOMEIMPROVEMENT,A,7000,6.03,1,0.09,N,3
2811,25,54000,RENT,1.0,VENTURE,A,3000,9.32,0,0.06,N,3
13719,25,95000,MORTGAGE,7.0,PERSONAL,A,5000,7.43,0,0.05,N,2
3005,26,38400,RENT,7.0,PERSONAL,C,3200,13.49,0,0.08,N,2
12568,25,83000,MORTGAGE,9.0,HOMEIMPROVEMENT,B,13000,10.99,0,0.16,N,2
27906,27,100000,MORTGAGE,11.0,PERSONAL,A,14400,,0,0.14,N,8
9109,22,60000,OWN,6.0,VENTURE,A,11500,7.88,0,0.19,N,2
25874,28,32000,RENT,0.0,DEBTCONSOLIDATION,C,2600,13.49,0,0.08,N,8
32166,37,42000,RENT,2.0,MEDICAL,C,8400,13.49,0,0.2,N,14
8100,25,63000,RENT,9.0,EDUCATION,A,7200,7.88,0,0.11,N,3
28351,27,60000,RENT,11.0,PERSONAL,B,25000,,1,0.42,N,9
20283,29,70000,RENT,0.0,PERSONAL,B,4000,10.99,0,0.06,N,5
10630,25,69600,MORTGAGE,9.0,VENTURE,B,7000,11.49,0,0.1,N,2
27930,29,45600,MORTGAGE,9.0,MEDICAL,A,2000,7.88,0,0.04,N,8
14516,26,39000,RENT,2.0,EDUCATION,C,2000,12.98,0,0.05,N,4
29599,36,30000,RENT,14.0,MEDICAL,B,3000,10.38,0,0.1,N,11
28626,27,51298,RENT,11.0,VENTURE,B,1000,10.37,0,0.02,N,9
5508,24,63000,RENT,2.0,EDUCATION,A,5000,9.32,0,0.08,N,4
22761,29,57996,MORTGAGE,6.0,EDUCATION,C,20475,12.72,0,0.35,N,10
28609,27,75000,MORTGAGE,0.0,PERSONAL,A,7500,8.9,0,0.1,N,10
10576,23,35000,RENT,1.0,EDUCATION,A,10000,5.79,0,0.29,N,2
11991,23,54000,RENT,4.0,EDUCATION,C,11200,13.99,0,0.21,Y,2
3568,22,42492,RENT,6.0,DEBTCONSOLIDATION,B,3600,,1,0.08,N,3
7960,22,54000,RENT,1.0,EDUCATION,C,7000,13.47,0,0.13,Y,2
4463,24,40800,MORTGAGE,8.0,EDUCATION,A,1200,,0,0.03,N,3
913,24,73000,RENT,8.0,HOMEIMPROVEMENT,B,19000,10.62,0,0.26,N,3
32490,58,85000,MORTGAGE,0.0,PERSONAL,B,8000,11.49,0,0.09,N,28
25830,29,78000,MORTGAGE,7.0,HOMEIMPROVEMENT,A,18000,9.38,1,0.23,N,6
1078,24,24000,MORTGAGE,3.0,EDUCATION,C,8000,11.34,0,0.33,Y,4
22763,31,160000,RENT,1.0,HOMEIMPROVEMENT,C,7500,11.28,0,0.05,N,7
22430,29,55000,MORTGAGE,4.0,PERSONAL,B,8000,10.0,0,0.15,N,6
31702,42,125000,MORTGAGE,5.0,MEDICAL,A,35000,7.9,0,0.28,N,12
14072,24,100000,MORTGAGE,8.0,HOMEIMPROVEMENT,A,12000,6.92,0,0.12,N,2
22056,29,52000,OWN,0.0,VENTURE,B,16000,10.99,0,0.31,N,8
30029,46,44782,MORTGAGE,14.0,PERSONAL,D,6000,13.67,0,0.13,Y,12
19482,28,48715,RENT,2.0,VENTURE,C,12000,12.87,0,0.25,N,10
28252,30,53000,RENT,4.0,DEBTCONSOLIDATION,A,12000,6.03,0,0.23,N,5
11588,21,75000,MORTGAGE,5.0,EDUCATION,A,8550,6.91,0,0.11,N,3
28263,28,82000,MORTGAGE,0.0,MEDICAL,C,15000,12.98,0,0.18,Y,8
5228,26,52800,RENT,4.0,VENTURE,B,8975,10.99,0,0.17,N,2
11710,23,75000,MORTGAGE,1.0,EDUCATION,E,4500,,0,0.06,Y,4
30322,44,57600,RENT,12.0,PERSONAL,A,7000,7.4,0,0.12,N,11
18792,30,100000,RENT,1.0,MEDICAL,B,1000,11.71,0,0.01,N,7
11350,22,74000,MORTGAGE,6.0,EDUCATION,B,9000,,0,0.12,N,2
3173,24,40000,RENT,3.0,EDUCATION,A,3500,7.9,0,0.09,N,4
19960,30,44000,RENT,0.0,PERSONAL,D,10500,15.58,1,0.24,Y,10
20023,27,106000,RENT,11.0,EDUCATION,C,3600,14.27,0,0.03,N,5
18310,33,83000,RENT,0.0,DEBTCONSOLIDATION,B,21000,11.71,1,0.25,N,7
30397,37,51000,RENT,11.0,VENTURE,D,6400,16.89,0,0.13,Y,13
18331,31,20000,OWN,3.0,VENTURE,A,6400,5.42,0,0.32,N,6
3485,25,37000,OWN,0.0,VENTURE,C,10000,15.96,0,0.27,N,3
10772,25,40000,RENT,6.0,VENTURE,C,10000,13.48,0,0.25,N,3
6766,23,18000,RENT,1.0,PERSONAL,A,7000,7.88,1,0.39,N,4
26036,27,64000,RENT,2.0,HOMEIMPROVEMENT,C,13000,13.11,0,0.2,N,10
11173,23,72000,MORTGAGE,7.0,EDUCATION,A,6400,7.51,0,0.09,N,2
11262,22,48000,RENT,7.0,DEBTCONSOLIDATION,E,10000,17.99,1,0.21,Y,4
16131,22,29100,RENT,2.0,VENTURE,D,6250,16.07,1,0.21,N,4
3941,25,41000,RENT,1.0,PERSONAL,D,4000,14.84,1,0.1,Y,4
28736,34,75500,RENT,0.0,EDUCATION,D,19200,16.77,1,0.25,Y,7
15419,26,135000,MORTGAGE,11.0,EDUCATION,A,6700,6.03,0,0.05,N,4
23697,29,65000,MORTGAGE,1.0,HOMEIMPROVEMENT,A,9600,5.79,0,0.15,N,5
7831,25,55000,MORTGAGE,2.0,DEBTCONSOLIDATION,A,8000,6.03,0,0.15,N,4
6154,26,24000,RENT,5.0,DEBTCONSOLIDATION,A,6000,6.62,0,0.25,N,4
18723,30,51600,RENT,5.0,DEBTCONSOLIDATION,C,16000,13.49,1,0.31,N,8
5303,25,24000,RENT,2.0,VENTURE,B,8500,9.88,1,0.35,N,4
4941,25,42996,MORTGAGE,4.0,HOMEIMPROVEMENT,A,12000,6.17,0,0.28,N,4
917,26,96000,RENT,6.0,PERSONAL,C,19000,13.22,0,0.2,Y,2
10214,23,66000,MORTGAGE,7.0,VENTURE,A,15000,6.03,0,0.23,N,4
10881,25,45000,RENT,0.0,VENTURE,C,10000,12.98,0,0.22,Y,2
10875,23,70000,MORTGAGE,7.0,DEBTCONSOLIDATION,A,4400,6.76,0,0.06,N,4
7876,23,39000,RENT,1.0,VENTURE,D,7000,16.77,1,0.18,N,3
26700,28,110000,MORTGAGE,12.0,HOMEIMPROVEMENT,B,3500,11.49,0,0.03,N,10
15953,24,7500,RENT,0.0,HOMEIMPROVEMENT,C,1200,13.48,1,0.16,N,4
29367,39,70000,RENT,3.0,PERSONAL,B,18000,11.14,0,0.26,N,14
3482,25,54000,RENT,7.0,HOMEIMPROVEMENT,C,10700,,1,0.2,Y,2
18486,27,22896,OWN,1.0,MEDICAL,B,5000,11.48,0,0.22,N,8
30577,36,33996,RENT,12.0,PERSONAL,A,8000,,0,0.24,N,15
16018,23,45000,MORTGAGE,1.0,EDUCATION,B,10000,12.21,0,0.22,N,4
18180,31,139016,RENT,5.0,VENTURE,D,25000,15.37,1,0.18,Y,8
10349,26,22000,RENT,10.0,VENTURE,B,10000,9.63,1,0.45,N,4
22981,27,60000,OWN,4.0,HOMEIMPROVEMENT,A,10500,7.49,0,0.17,N,7
19331,27,32000,MORTGAGE,0.0,VENTURE,A,9850,8.94,0,0.31,N,5
26649,29,110000,MORTGAGE,6.0,MEDICAL,B,5000,9.91,0,0.05,N,9
3320,22,38400,RENT,6.0,DEBTCONSOLIDATION,B,3600,12.69,0,0.09,N,3
12415,24,80689,MORTGAGE,1.0,DEBTCONSOLIDATION,C,16000,13.22,0,0.2,Y,2
976,24,44000,RENT,6.0,VENTURE,B,18000,12.18,1,0.41,N,2
27287,35,130000,MORTGAGE,3.0,DEBTCONSOLIDATION,C,9000,12.73,0,0.07,Y,8
29716,37,35496,RENT,5.0,VENTURE,B,3600,10.37,0,0.1,N,12
12583,26,83000,MORTGAGE,1.0,PERSONAL,B,17000,10.25,0,0.2,N,3
10654,22,37000,RENT,,DEBTCONSOLIDATION,B,10000,,0,0.27,N,2
21559,28,33000,RENT,2.0,PERSONAL,A,6000,7.9,0,0.18,N,6
2387,22,32000,MORTGAGE,,EDUCATION,A,11050,7.49,0,0.35,N,2
6756,22,50000,MORTGAGE,3.0,EDUCATION,A,2500,7.51,0,0.05,N,4
22310,33,54000,MORTGAGE,7.0,VENTURE,C,7500,13.22,0,0.14,N,10
12566,25,60000,RENT,9.0,EDUCATION,B,12000,12.21,0,0.2,N,3
30918,39,70000,MORTGAGE,6.0,EDUCATION,A,10000,6.17,0,0.14,N,15
12447,23,81120,MORTGAGE,3.0,PERSONAL,B,15000,10.25,0,0.18,N,4
25784,34,90000,MORTGAGE,5.0,PERSONAL,B,24250,10.62,0,0.27,N,7
29855,36,40000,MORTGAGE,8.0,EDUCATION,A,6000,8.49,0,0.15,N,17
30929,36,70000,MORTGAGE,2.0,PERSONAL,A,11000,7.51,0,0.16,N,12
4145,22,40000,MORTGAGE,6.0,DEBTCONSOLIDATION,C,5000,12.99,0,0.13,Y,2
17965,28,225000,MORTGAGE,8.0,PERSONAL,C,16800,13.92,0,0.07,Y,5
32185,36,24000,OWN,5.0,VENTURE,C,4000,14.72,0,0.17,Y,12
14246,25,61000,RENT,1.0,PERSONAL,B,14400,12.53,0,0.24,N,2
2246,25,28000,RENT,10.0,PERSONAL,A,13000,7.9,1,0.46,N,3
28850,28,62040,RENT,0.0,DEBTCONSOLIDATION,C,13400,13.06,0,0.22,Y,6
12,23,95000,RENT,2.0,VENTURE,A,35000,7.9,1,0.37,N,2
16477,25,85000,MORTGAGE,7.0,DEBTCONSOLIDATION,C,12000,14.65,0,0.14,N,2
26644,32,29000,OWN,0.0,PERSONAL,A,2000,8.49,0,0.07,N,8
5205,23,92000,RENT,7.0,EDUCATION,A,9000,6.92,0,0.1,N,2
20000,33,53000,RENT,4.0,DEBTCONSOLIDATION,B,3600,9.25,0,0.07,N,5
28720,30,54000,MORTGAGE,3.0,DEBTCONSOLIDATION,C,5000,12.61,1,0.09,N,9
11050,24,54000,RENT,3.0,EDUCATION,A,4025,6.76,0,0.07,N,2
19801,29,38400,RENT,4.0,VENTURE,B,3550,11.49,0,0.09,N,7
17253,24,47000,MORTGAGE,1.0,EDUCATION,B,8500,,0,0.18,N,4
23437,27,62500,MORTGAGE,2.0,DEBTCONSOLIDATION,A,12000,7.66,0,0.19,N,8
23483,34,63000,MORTGAGE,3.0,DEBTCONSOLIDATION,B,15000,10.99,0,0.24,N,9
19001,29,200000,RENT,2.0,DEBTCONSOLIDATION,B,15000,10.37,0,0.07,N,5
29014,33,72000,MORTGAGE,0.0,HOMEIMPROVEMENT,B,6600,,0,0.09,N,9
14983,23,120000,MORTGAGE,7.0,VENTURE,C,6000,13.06,0,0.05,N,4
13674,21,33600,OWN,5.0,MEDICAL,A,10000,7.88,0,0.3,N,2
9469,22,62000,MORTGAGE,6.0,VENTURE,A,5000,8.59,0,0.08,N,4
30038,40,45000,MORTGAGE,5.0,HOMEIMPROVEMENT,A,3600,6.62,0,0.08,N,13
10377,24,67000,OWN,3.0,VENTURE,C,13000,,0,0.19,Y,3
13062,25,78000,RENT,0.0,PERSONAL,D,12000,14.09,1,0.15,Y,3
11826,23,90000,RENT,7.0,EDUCATION,B,10000,12.69,0,0.11,N,4
27491,33,144000,MORTGAGE,1.0,MEDICAL,A,5000,8.9,0,0.03,N,10
28971,29,35000,RENT,1.0,PERSONAL,A,10625,7.9,0,0.3,N,6
21605,27,49200,MORTGAGE,11.0,MEDICAL,A,9600,5.42,0,0.2,N,6
5260,22,73700,RENT,3.0,EDUCATION,F,8800,18.21,0,0.12,Y,3
11190,25,50000,RENT,2.0,DEBTCONSOLIDATION,B,10000,10.95,0,0.2,N,3
25345,27,26880,RENT,1.0,DEBTCONSOLIDATION,A,3000,5.79,0,0.11,N,10
12398,26,40800,RENT,2.0,PERSONAL,A,12000,,0,0.29,N,2
24154,28,42000,RENT,12.0,EDUCATION,A,10000,9.32,0,0.24,N,9
18857,29,27996,OWN,5.0,HOMEIMPROVEMENT,A,1800,5.42,0,0.06,N,6
15387,24,65000,RENT,5.0,PERSONAL,A,15000,6.17,0,0.23,N,2
21144,27,69996,RENT,12.0,PERSONAL,A,5000,9.63,0,0.07,N,5
19818,30,30000,RENT,1.0,VENTURE,C,3600,10.28,0,0.12,Y,10
9725,26,64000,MORTGAGE,7.0,HOMEIMPROVEMENT,A,5000,6.62,0,0.08,N,2
15301,26,130000,MORTGAGE,7.0,VENTURE,D,6500,15.99,0,0.05,Y,3
9074,22,60000,RENT,6.0,MEDICAL,A,8000,7.88,0,0.13,N,2
15991,23,81600,MORTGAGE,7.0,VENTURE,A,9000,7.49,0,0.11,N,3
13767,25,73000,RENT,9.0,PERSONAL,B,13600,11.99,0,0.19,N,2
2889,22,71000,RENT,5.0,MEDICAL,C,3000,14.65,0,0.04,N,4
28526,29,33000,RENT,2.0,EDUCATION,C,1700,15.23,0,0.05,Y,5
22396,34,55000,MORTGAGE,4.0,EDUCATION,C,7000,13.49,0,0.13,Y,10
32020,37,72000,MORTGAGE,9.0,PERSONAL,C,1600,13.92,0,0.02,N,12
20679,28,32000,RENT,5.0,MEDICAL,A,5000,6.99,0,0.16,N,7
14935,23,120000,MORTGAGE,7.0,MEDICAL,A,8500,5.42,0,0.07,N,4
27032,33,25200,RENT,3.0,MEDICAL,E,1600,16.69,1,0.06,N,6
16112,22,126500,RENT,1.0,DEBTCONSOLIDATION,C,19200,13.79,0,0.15,Y,3
2485,22,32400,MORTGAGE,6.0,VENTURE,B,4200,10.99,0,0.13,N,4
17788,21,72500,RENT,3.0,EDUCATION,C,14000,13.49,0,0.19,Y,3
23375,29,82710,RENT,2.0,PERSONAL,C,8000,13.49,0,0.1,Y,9
23252,29,60096,MORTGAGE,3.0,EDUCATION,A,3000,7.66,0,0.05,N,10
3743,22,25200,RENT,1.0,MEDICAL,B,4000,,0,0.16,N,2
31149,45,33600,RENT,8.0,VENTURE,D,11300,12.17,1,0.34,N,11
30241,40,44000,RENT,0.0,PERSONAL,A,6000,,1,0.14,N,12
8552,25,58750,MORTGAGE,6.0,HOMEIMPROVEMENT,D,6000,15.33,0,0.1,Y,3
5567,23,55488,RENT,4.0,MEDICAL,D,5000,15.21,1,0.08,N,2
32144,41,24000,RENT,2.0,MEDICAL,D,4000,16.07,1,0.17,N,16
18629,27,24570,MORTGAGE,2.0,PERSONAL,C,8500,,0,0.35,Y,8
4531,23,92000,RENT,5.0,MEDICAL,B,4800,10.0,0,0.05,N,3
7747,23,34800,RENT,0.0,MEDICAL,B,7000,11.99,1,0.2,N,2
16673,22,60000,MORTGAGE,6.0,EDUCATION,A,11200,5.79,0,0.19,N,4
29775,42,32000,MORTGAGE,0.0,PERSONAL,B,10000,10.59,1,0.31,N,12
28308,35,91000,OWN,0.0,MEDICAL,A,10000,8.59,0,0.11,N,8
13402,24,91000,MORTGAGE,8.0,DEBTCONSOLIDATION,B,2400,9.91,0,0.03,N,4
19434,28,34000,RENT,1.0,PERSONAL,D,3000,15.7,1,0.09,Y,10
20028,27,54000,RENT,2.0,EDUCATION,A,3625,7.9,0,0.07,N,6
27168,28,113000,MORTGAGE,1.0,PERSONAL,F,13200,18.67,1,0.12,N,10
20166,35,35000,RENT,13.0,MEDICAL,C,4000,13.35,0,0.11,N,8
23066,28,50000,RENT,0.0,MEDICAL,C,8000,14.27,0,0.16,N,9
5176,23,44000,MORTGAGE,2.0,VENTURE,A,2000,7.4,0,0.05,N,4
11093,24,72000,MORTGAGE,2.0,DEBTCONSOLIDATION,A,6000,7.49,0,0.08,N,4
2851,24,35000,MORTGAGE,6.0,MEDICAL,B,8575,10.65,0,0.24,N,4
30850,43,61000,MORTGAGE,3.0,DEBTCONSOLIDATION,E,16000,,1,0.26,Y,17
15771,23,62900,RENT,1.0,MEDICAL,E,16000,16.35,1,0.22,N,4
10339,22,21000,RENT,2.0,DEBTCONSOLIDATION,C,10000,12.73,1,0.48,Y,4
21206,30,92001,RENT,3.0,VENTURE,A,5000,,0,0.05,N,6
20807,32,43000,MORTGAGE,6.0,VENTURE,A,12000,7.88,0,0.28,N,7
11668,24,75000,MORTGAGE,8.0,EDUCATION,A,5000,6.76,0,0.07,N,4
7690,25,27600,RENT,2.0,MEDICAL,B,7000,9.76,0,0.25,N,4
22935,31,60000,MORTGAGE,5.0,PERSONAL,A,17000,8.9,0,0.28,N,8
20946,28,50000,RENT,0.0,HOMEIMPROVEMENT,B,8825,11.49,0,0.18,N,7
